opinion_id,blog_id,user_id,opinion,created_at,updated_at
1,72,68,1,1999-01-21 00:01:32.356651,1990-11-03 00:26:16.467309
2,69,90,0,1981-01-03 22:39:25.689935,2021-10-08 08:36:45.925954
3,83,3,1,2005-07-12 04:33:49.845201,1994-08-24 23:15:27.319360
4,47,6,1,2022-09-26 08:05:21.985820,1973-02-04 01:29:15.707357
5,61,19,1,1986-11-26 00:00:00.957536,1994-04-16 15:39:16.862944
6,82,68,0,1981-09-30 15:08:16.161645,2008-12-21 19:15:29.499427
7,13,72,0,2008-12-10 07:19:19.940552,2008-07-30 14:08:55.756081
8,13,21,1,2011-09-18 21:00:54.696970,1980-11-30 00:27:00.603171
9,12,2,0,1986-03-10 20:16:58.174748,2005-01-13 00:07:36.444758
10,35,57,1,1993-03-29 06:59:39.651762,2018-09-02 09:09:07.013047
11,16,79,0,1995-06-13 10:58:28.292761,2012-02-25 11:34:25.011598
12,26,47,1,1986-03-03 12:34:57.047318,1980-09-09 11:46:05.268012
13,91,44,1,1992-04-09 15:29:07.854882,2011-06-22 17:20:51.400722
14,45,49,0,1989-08-31 05:59:20.779007,1989-09-21 12:55:03.682319
15,54,100,1,2000-10-06 06:31:30.516670,2020-06-14 12:40:10.022892
16,90,25,1,1991-04-12 03:58:28.961487,1984-10-11 16:41:13.377348
17,43,82,1,1993-08-27 22:07:07.866149,1981-05-11 23:03:50.945332
18,15,5,1,1998-04-22 12:22:58.013323,1992-09-15 13:16:24.382060
19,29,8,1,1983-02-04 14:40:28.764552,1992-01-14 10:07:01.298625
20,25,64,1,1990-05-23 05:07:24.859944,2023-09-07 17:46:44.256201
21,51,56,1,1989-07-09 16:43:39.990131,1980-08-18 05:22:32.642996
22,25,66,0,1975-05-08 10:11:10.656592,1997-12-04 08:09:46.245559
23,45,84,0,2009-08-16 08:49:42.164228,1994-05-16 20:55:54.136122
24,37,97,1,2015-11-10 19:11:53.698246,2005-10-08 18:03:19.746819
25,53,82,1,1994-08-04 10:46:24.228022,1995-03-05 13:02:31.274780
26,19,90,0,2003-11-21 19:11:40.870893,2006-07-19 05:21:54.174803
27,42,30,0,2011-05-24 09:58:27.906534,2016-04-04 02:34:26.645396
28,72,35,1,1999-02-08 00:21:06.138760,1995-03-24 01:27:46.331409
29,56,45,0,1987-12-23 09:48:56.623266,2006-04-29 20:19:55.652411
30,26,44,0,1971-01-13 19:23:25.149539,2012-10-02 19:55:27.151596
31,38,42,1,2003-02-15 05:21:14.688806,2004-06-28 13:42:17.555264
32,84,94,0,1970-03-02 08:02:45.717844,2016-08-16 09:36:22.741423
