tag_id,blog_id
9,16
3,96
6,4
1,53
8,31
1,65
2,53
6,72
1,90
2,67
6,30
6,47
10,67
8,72
4,49
8,68
9,94
9,54
4,28
10,38
2,31
1,97
10,96
7,37
6,73
8,90
6,57
2,5
4,81
10,5
3,59
5,26
9,84
5,91
3,9
4,11
4,75
10,75
4,71
4,92
4,2
9,20
3,72
4,77
2,23
3,84
9,78
8,7
4,76
1,82
1,80
1,22
10,92
3,78
7,76
10,8
3,26
4,79
1,9
3,22
3,35
5,72
9,92
10,41
1,58
10,89
9,56
3,30
10,30
5,78
1,42
6,83
2,44
6,67
4,25
3,66
7,48
8,87
4,10
2,8
10,65
9,96
3,36
2,1
2,58
5,25
8,29
1,56
1,90
9,41
7,13
9,22
10,57
5,27
1,10
7,63
10,53
7,46
7,14
2,84
